hotel_name,city,country,price_per_night_text,price_per_night,rating,review_count_text,review_count,stars,location,amenities
Madelise Amica Hotel & Travel,Hanoi,Vietnam,"₫ 677,152",677152,8.9 Excellent,859 reviews,859.0,4.0,"Old Quarter, Hanoi - City center","['Welcome drink', 'Parking', 'Free WiFi', '+1']"
Grand Plaza Hotel Hanoi,Hanoi,Vietnam,"₫ 1,981,381",1981381,8.3 Excellent,"5,300 reviews",5300.0,5.0,"Cau Giay, Hanoi - 5.2 km to center","['Breakfast', 'Free fitness center access', '+8']"
M Village Hotel Hồ Gươm,Hanoi,Vietnam,"₫ 1,028,596",1028596,9.3 Exceptional,767 reviews,767.0,3.0,"Hoan Kiem District, Hanoi - 0.1 km to center","['Room sanitizing', 'Free Premium Wifi', '+3']"
Signature by M Village Thợ Nhuộm,Hanoi,Vietnam,"₫ 1,488,089",1488089,9.2 Exceptional,"1,790 reviews",1790.0,4.0,"Hoan Kiem District, Hanoi - 0.4 km to center","['Breakfast', 'Free fitness center access', '+6']"
La Mejor Indochine Hotel,Hanoi,Vietnam,"₫ 2,899,676",2899676,9.5 Exceptional,644 reviews,644.0,5.0,"Old Quarter, Hanoi - City center","['Breakfast', 'Free fitness center access', '+7']"
Apricot Hotel,Hanoi,Vietnam,"₫ 2,923,292",2923292,8.9 Excellent,"2,730 reviews",2730.0,5.0,"Hoan Kiem District, Hanoi - City center","['Breakfast', 'Free fitness center access', '+6']"
La Palm Hotel,Hanoi,Vietnam,"₫ 839,416",839416,8.4 Excellent,"5,742 reviews",5742.0,3.0,"Old Quarter, Hanoi - City center","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Hotel du Parc Hanoi,Hanoi,Vietnam,"₫ 2,275,297",2275297,8.6 Excellent,"3,769 reviews",3769.0,5.0,"Hai Ba Trung District, Hanoi - 1.2 km to center","['Breakfast', 'Free fitness center access', '+6']"
Movenpick Hotel Hanoi Centre,Hanoi,Vietnam,"₫ 5,431,424",5431424,8.4 Excellent,"1,940 reviews",1940.0,5.0,"Hoan Kiem District, Hanoi - 0.4 km to center",[]
Hotel De Rond Hanoi,Hanoi,Vietnam,"₫ 1,069,255",1069255,9.0 Exceptional,"1,476 reviews",1476.0,4.0,"Hoan Kiem District, Hanoi - 0.2 km to center","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Tru by Hilton Hanoi Station,Hanoi,Vietnam,"₫ 2,802,500",2802500,8.3 Excellent,526 reviews,526.0,3.0,"Hoan Kiem District, Hanoi - 0.5 km to center","['Breakfast', 'Free WiFi']"
Dolce by Wyndham Hanoi Golden Lake,Hanoi,Vietnam,"₫ 2,051,710",2051710,8.7 Excellent,"2,321 reviews",2321.0,5.0,"Ba Dinh, Hanoi - 2.0 km to center","['Breakfast', 'Parking', 'Free WiFi', '+3']"
Aurora Premium - A Lifestyle Hotel,Hanoi,Vietnam,"₫ 1,503,757",1503757,9.2 Exceptional,"4,686 reviews",4686.0,4.0,"Old Quarter, Hanoi - City center","['Breakfast', 'Welcome drink', '+4']"
Canvas Danang Beach Hotel,Da Nang,Vietnam,"₫ 1,011,328",1011328,8.9 Excellent,"3,632 reviews",3632.0,4.0,"Phước Mỹ, Da Nang - 2.1 km to center","['Breakfast', 'Free fitness center access', '+7']"
Nesta Hotel Da Nang,Da Nang,Vietnam,"₫ 1,280,890",1280890,9.1 Exceptional,"4,915 reviews",4915.0,4.0,"Phước Mỹ, Da Nang - 2.5 km to center","['Breakfast', 'Welcome drink', '+5']"
Golden Lotus Grand Da Nang,Da Nang,Vietnam,"₫ 1,567,608",1567608,9.3 Exceptional,"7,238 reviews",7238.0,4.0,"Phước Mỹ, Da Nang - 2.5 km to center","['Breakfast', 'Free fitness center access', '+12']"
Danang Beach Hotel by RAON,Da Nang,Vietnam,"₫ 284,635",284635,9.5 Exceptional,193 reviews,193.0,4.0,"Phước Mỹ, Da Nang - 2.5 km to center","['Parking', 'Late check-in', 'Free Premium Wifi', '+6']"
Mercure Danang French Village Bana Hills,Da Nang,Vietnam,"₫ 2,572,200",2572200,8.8 Excellent,"16,914 reviews",16914.0,4.0,"Hoa Ninh, Da Nang - 24.8 km to center","['Breakfast', 'Free WiFi', 'Parking', 'Dinner included']"
Muong Thanh Grand Da Nang Hotel,Da Nang,Vietnam,"₫ 657,748",657748,8.1 Excellent,"4,584 reviews",4584.0,4.0,"Phước Mỹ, Da Nang - 0.8 km to center","['Breakfast', 'Free fitness center access', '+4']"
Purama Resort - Luxury Pool Villa,Da Nang,Vietnam,"₫ 9,493,402",9493402,8.7 Excellent,93 reviews,93.0,5.0,"Hòa Hải, Da Nang - 3.6 km to center",[]
Muong Thanh Luxury Da Nang hotel,Da Nang,Vietnam,"₫ 981,217",981217,8.6 Excellent,"7,342 reviews",7342.0,5.0,"Phước Mỹ, Da Nang - 2.5 km to center","['Breakfast', 'Free fitness center access', '+3']"
Melia Vinpearl Danang Riverfront,Da Nang,Vietnam,"₫ 1,961,989",1961989,9.0 Exceptional,"7,212 reviews",7212.0,5.0,"An Hai Bac, Da Nang - 0.4 km to center","['Breakfast', 'Free fitness center access', '+2']"
Centre Hotel,Da Nang,Vietnam,"₫ 297,332",297332,8.1 Excellent,"18,310 reviews",18310.0,3.0,"Hải Châu, Da Nang - City center","['Parking', 'Express check-in', 'Free WiFi', '+1']"
Temple Da Nang,Da Nang,Vietnam,"₫ 782,277",782277,7.4 Very good,"1,179 reviews",1179.0,4.0,"Phước Mỹ, Da Nang - 2.1 km to center","['Breakfast', 'Free WiFi', 'Parking', 'Welcome drink']"
